"tag","name","townHallLevel","role","clanRank","expLevel","league","trophies","versusTrophies","warStars","legendTrophies","attackWins","defenseWins","donations","donationsReceived","Barbarian","Archer","Giant","Goblin","Wall Breaker","Balloon","Wizard","Healer","Dragon","P.E.K.K.A","Baby Dragon","Miner","Electro Dragon","Yeti","Dragon Rider","Root Rider","Thrower","Minion","Hog Rider","Valkyrie","Golem","Witch","Lava Hound","Bowler","Apprentice Warden","Druid","Furnace","Ice Golem","Headhunter","Electro Titan","Wall Wrecker","Battle Blimp","Stone Slammer","Siege Barracks","Log Launcher","Flame Flinger","Battle Drill","Troop Launcher","L.A.S.S.I","Electro Owl","Mighty Yak","Unicorn","Phoenix","Poison Lizard","Diggy","Frosty","Spirit Fox","Angry Jelly","Sneezy","Raged Barbarian","Sneaky Archer","Boxer Giant","Beta Minion","Bomber","Baby Dragon BB","Cannon Cart","Night Witch","Drop Ship","Power P.E.K.K.A","Hog Glider","Electrofire Wizard","Lightning Spell","Healing Spell","Rage Spell","Jump Spell","Freeze Spell","Clone Spell","Invisibility Spell","Recall Spell","Poison Spell","Earthquake Spell","Haste Spell","Skeleton Spell","Bat Spell","Overgrowth Spell","Revive Spell","Ice Block Spell","Barbarian King","Archer Queen","Grand Warden","Royal Champion","Minion Prince","Battle Machine","Battle Copter","Bigger Coffers","Get those Goblins!","Bigger & Better","Nice and Tidy","Gold Grab","Elixir Escapade","Sweet Victory!","Empire Builder","Wall Buster","Humiliator","Union Buster","Conqueror","Unbreakable","Friend in Need","Mortar Mauler","Heroic Heist","X-Bow Exterminator","Firefighter","War Hero","Clan War Wealth","Anti-Artillery","Sharing is caring","Master Engineering","Next Generation Model","Un-Build It","Champion Builder","High Gear","Hidden Treasures","Games Champion","Dragon Slayer","War League Legend","Well Seasoned","Shattered and Scattered","Not So Easy This Time","Bust This!","Superb Work","Siege Sharer","Aggressive Capitalism","Most Valuable Clanmate"
"#CLLCJY2R","THE GLADIATOR",12,"member",11,134,"Unranked",2927,2583,282,0,0,0,0,0,7,7,6,3,6,8,8,5,7,7,6,2,3,2,0,0,0,3,6,5,7,3,3,3,0,0,0,1,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,11,4,12,10,7,15,13,1,0,0,9,6,5,2,6,5,3,0,3,4,2,1,1,1,0,0,41,49,20,0,32,19,1,13,199,12,4091,272793975,294651379,3539,8,4079,692,2776,805,568,5503,2517,2417225,1476,748,282,157983941,218,27,8,1,784,2890,3,1,6000,0,93,32380,47,100,2,0,2,37345,108525
"#GQ0C98989","princess824",13,"member",12,129,"Master League II",2891,2619,82,0,20,0,42,0,8,8,7,7,6,7,9,5,7,8,6,6,3,2,0,0,0,8,9,7,9,5,5,4,0,0,0,5,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,12,16,12,15,13,16,14,16,0,0,9,7,6,2,6,2,1,0,5,5,5,3,5,2,0,0,46,36,22,2,36,12,16,14,91,13,2156,585934521,632014017,2903,8,25304,836,4732,1191,230,358,4064,5480409,2376,1274,82,143913968,389,28,8,1,855,2747,3,1,600,0,9,39945,205,261,17,12,1,355800,495300
"#2CUYQC8C0","tinni",13,"member",13,174,"Master League II",2866,3142,935,0,4,4,257,45,9,9,10,8,8,9,9,5,8,8,6,6,4,2,2,0,0,8,10,7,9,5,5,4,1,0,0,5,2,0,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,1,0,9,7,6,3,7,5,4,2,6,5,5,6,5,2,0,0,58,65,44,9,40,25,25,14,192,13,2738,521398457,560930148,3059,9,17021,1431,7119,2058,624,23735,5055,3569402,1784,905,935,477246359,258,721,9,1,2772,3335,3,1,69320,0,216,71720,48,145,16,17,111,224010,339461
"#GYQJP08QR","pwag",13,"member",14,143,"Unranked",2853,3307,33,0,0,0,0,0,9,9,5,5,7,8,8,6,8,8,2,6,4,2,1,0,0,4,10,8,6,5,5,4,2,0,0,5,3,0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,16,16,16,16,16,18,17,18,1,0,9,7,6,2,7,6,3,1,6,5,5,2,5,2,0,0,68,53,37,9,40,26,28,14,225,13,1987,444482449,472749355,3124,9,13344,591,3534,920,108,743,3056,4417469,2108,1217,33,145483378,452,33,9,1,2371,3424,3,1,14450,1,8,65425,266,322,27,13,5,249647,380544
"#9GYQCPJUP","arun dev 143",17,"member",15,173,"Master League II",2797,3158,62,0,0,2,224,0,7,9,10,8,9,9,10,5,10,11,5,5,5,3,3,1,1,8,10,8,10,5,6,4,1,0,0,2,1,1,4,4,4,3,3,2,2,0,8,3,2,1,0,0,1,1,0,0,0,13,19,16,14,14,16,15,20,12,20,1,18,9,7,6,3,6,3,1,1,5,5,5,5,5,1,1,0,52,52,29,19,48,24,17,17,200,17,799,352057907,368845258,2987,12,11595,574,2899,823,1040,6107,2599,2580025,1529,871,62,222743939,339,168,10,1,887,3276,3,1,51245,1,23,46360,375,217,599,10,28,240212,434678
"#LUVYV9CL0","Pratik",14,"member",16,134,"Master League III",2775,2679,517,0,18,2,0,0,8,8,7,7,7,9,7,6,8,8,5,5,4,1,0,0,0,6,5,4,10,4,4,5,0,0,0,5,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,15,12,14,13,14,14,14,16,1,0,9,7,5,3,6,4,2,0,5,5,5,3,3,1,0,0,45,44,25,9,38,18,17,14,232,14,1555,297408000,328833078,2847,9,14744,750,3178,799,70,91,2821,3074886,1825,947,517,377931781,305,3,9,1,1028,2750,3,1,21300,1,38,53620,44,142,13,5,1,667514,870994
"#9CGRPRVY2","Skull Crusher 2",12,"member",17,118,"Master League III",2701,1912,428,0,4,0,0,0,6,8,7,6,5,6,7,5,7,7,3,3,3,1,0,0,0,5,7,6,7,4,4,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,7,0,0,0,0,0,9,7,6,1,5,2,1,0,3,5,5,2,4,0,0,0,43,39,23,0,21,2,0,12,163,12,1378,531765755,573171311,2970,8,10815,927,4445,1267,239,5306,3827,4113636,1737,877,428,184039058,281,78,5,1,272,2022,1,1,9550,0,81,21480,33,106,2,1,0,0,100
"#P29GJQG0R","Rupesh",13,"member",18,147,"Master League III",2686,2574,275,0,25,0,82,637,9,8,8,6,5,9,9,5,8,9,3,5,4,1,2,0,0,7,9,8,10,5,6,4,1,0,0,5,3,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,9,11,9,8,7,16,12,1,0,0,8,7,6,3,4,4,1,1,3,5,5,2,3,2,0,0,40,41,17,6,25,5,0,14,144,13,2985,1081185212,1143699033,2968,9,20246,1613,7885,2439,792,23589,6606,5892524,3187,1436,275,249391463,384,290,8,1,640,3028,2,1,26000,0,13,15390,291,201,74,10,1,775,500
"#J9LU0YG2","georgesal15820y",14,"admin",19,201,"Unranked",2666,2651,733,0,0,0,0,0,10,10,10,8,10,10,10,7,9,9,8,8,5,4,3,0,0,10,10,8,11,5,6,6,3,1,0,6,3,2,4,4,4,4,4,4,0,0,10,5,7,10,0,0,0,0,0,0,0,10,10,10,10,10,11,18,18,12,14,17,0,9,8,6,4,7,7,4,3,8,5,5,7,5,3,0,0,80,80,55,30,58,30,30,15,198,14,12076,1186161042,1310344507,4477,10,15924,1591,9738,3063,925,100603,6096,11730653,1933,1195,733,530564737,371,2571,9,1,342,2692,3,1,61750,0,114,74360,457,363,810,18,304,752260,1131721
"#YVQLLQYYG","Kusaro",12,"admin",20,122,"Unranked",2626,2491,168,0,0,0,0,0,8,8,8,7,7,7,8,4,7,6,4,3,2,2,0,0,0,7,9,7,9,5,5,4,0,0,0,5,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,12,13,12,10,12,14,12,1,1,1,9,7,5,2,5,3,1,0,5,5,4,3,5,2,0,0,40,48,22,0,36,14,17,13,211,12,1715,294060127,319722262,3277,8,20786,651,2997,828,82,1185,2762,3715263,2133,1120,168,189917511,453,73,10,1,719,2684,1,1,2600,0,54,40465,34,163,0,30,6,175705,307851
"#QLJRJGUPY","Purnota",17,"member",21,171,"Unranked",2572,3200,79,0,0,0,0,0,9,10,9,8,8,8,8,7,5,9,5,4,1,1,0,0,0,9,8,6,7,5,3,6,0,0,0,1,0,0,4,3,3,2,0,0,0,0,4,1,1,1,0,0,0,1,0,0,0,17,20,15,15,16,14,16,15,15,17,1,18,7,7,6,4,5,6,2,2,6,5,5,6,5,3,0,0,45,45,21,18,45,30,27,18,171,17,4178,1000923557,898532499,2967,10,23206,1849,6075,2247,269,999,5156,7099715,3246,1985,79,384969161,960,32,10,1,2152,3276,2,1,81750,0,15,84730,1267,1351,1949,4,18,115527,396378
"#YRPC89URL","xSamBellx",12,"member",22,126,"Unranked",2545,2382,84,0,0,0,0,0,8,7,6,7,6,6,8,5,7,7,4,2,2,1,0,0,0,6,7,7,9,5,2,4,0,0,0,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,10,12,9,11,10,14,12,0,0,0,8,6,5,3,6,4,2,0,3,5,5,4,4,0,0,0,53,51,21,0,34,10,0,13,195,12,5507,189127559,219178199,3096,8,7236,679,2284,760,208,825,2025,1899815,883,428,84,139241807,168,40,7,1,259,2459,2,1,4050,1,23,29070,53,147,0,0,1,510,30410
"#9YUUCP80Q","KING HASIB",12,"member",23,158,"Crystal League I",2417,2410,651,0,43,1,0,1132,8,8,9,7,7,7,8,5,7,8,5,5,3,0,0,0,0,7,9,7,7,3,5,4,0,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,12,14,13,14,10,14,11,0,0,0,9,7,5,3,7,5,3,0,3,5,3,3,3,0,0,0,44,53,22,0,26,12,0,13,80,12,3114,1465761203,1574897859,3343,8,28513,2689,12098,3629,1238,47701,11357,7515036,4235,1364,651,204883647,459,699,8,1,1701,3387,3,1,8595,0,0,17250,24,72,0,9,0,22695,0
"#2L8RJPU8P","isas",13,"admin",24,159,"Unranked",2416,2515,342,0,0,0,0,0,9,9,9,8,8,8,9,5,7,8,7,6,4,2,1,0,0,6,7,6,10,5,4,4,1,0,0,5,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,13,8,8,9,7,15,12,1,0,0,9,7,5,3,7,5,1,1,6,5,4,4,5,2,0,0,65,74,49,5,41,12,19,14,150,13,5026,348834587,370868835,2994,9,7870,667,4511,1174,558,9590,3478,2905618,1159,658,342,325343058,185,355,8,1,241,2543,3,1,12760,0,103,50360,123,103,42,1,15,555710,807645
"#GYCC2GU90","monz de siento",11,"member",25,88,"Crystal League II",2392,1956,200,0,18,0,0,0,7,7,7,7,6,6,7,4,6,7,2,2,0,0,0,0,0,5,6,5,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,10,8,9,1,1,0,0,0,0,7,6,5,2,2,2,0,0,3,3,2,1,1,0,0,0,29,27,2,0,16,7,0,11,216,11,1000,259655909,260252605,2681,7,7124,551,2104,619,20,785,1976,2009913,813,294,200,115829334,53,36,6,1,315,2154,2,1,5050,0,45,25420,0,1,0,1,0,31840,45806
"#8YUL8QJVQ","Zammy",13,"member",26,175,"Unranked",2361,3783,903,0,0,0,0,0,9,9,9,8,9,8,10,6,8,8,6,7,4,3,1,0,0,8,8,7,10,5,6,5,2,0,0,5,2,0,4,4,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,16,18,15,0,9,7,6,4,7,5,1,2,7,5,5,5,5,2,0,0,64,63,46,21,0,30,0,14,202,13,1025,803269900,832201246,4792,9,32902,1571,8580,2308,161,5071,6849,7596465,4420,2423,903,1007955443,1145,74,9,1,3093,3945,3,1,141840,3,454,109520,374,490,13,80,0,484155,663726
"#QGRYPLQRJ","isas2",12,"member",27,128,"Unranked",2324,1815,246,0,0,0,0,0,9,9,8,7,8,8,8,5,7,8,6,3,3,2,0,0,0,8,7,6,7,5,4,4,0,0,0,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,8,8,9,9,12,0,0,0,0,9,7,5,3,5,3,1,0,3,5,3,3,2,2,0,0,64,65,40,0,40,10,0,13,66,12,1737,282275458,310991644,2828,8,6104,389,3127,759,71,2801,2334,2538707,1002,520,246,246748223,191,260,6,1,121,1909,2,1,7600,0,119,46795,44,82,5,0,2,564425,794162
"#LGL92V2UV","quiet",13,"member",28,111,"Crystal League II",2230,1883,265,0,1,0,0,154,9,9,9,7,8,9,9,5,7,8,4,6,4,2,0,0,0,5,8,7,10,5,5,5,0,0,0,5,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,1,1,0,0,0,0,9,7,6,1,3,1,1,0,6,5,2,4,5,1,0,0,42,37,22,6,33,4,0,14,63,13,1269,328293228,342739863,2767,9,13530,600,2595,724,51,814,2268,2669565,1290,614,265,279065831,208,25,7,1,194,1974,1,1,3600,0,73,39215,21,77,0,8,0,164829,173138
"#QGVYQUU9V","Leonai",12,"member",29,109,"Unranked",2229,1555,23,0,0,0,0,0,8,8,8,6,6,7,8,5,6,7,2,5,2,0,0,0,0,7,7,6,4,4,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,4,1,5,9,0,0,0,0,0,8,7,5,3,4,4,1,0,2,4,4,3,1,0,0,0,46,50,20,0,30,5,0,12,88,11,623,232085810,266531068,2708,7,8627,722,3084,967,89,825,2822,1962458,1115,430,23,108494406,99,6,5,1,98,1659,1,1,150,0,13,33695,2,17,0,6,0,0,46100
"#CYYYY8R8","Sox4-",13,"member",30,85,"Crystal League II",2180,1314,68,0,7,0,0,0,7,6,6,6,5,5,6,4,7,7,1,0,0,0,0,0,0,4,5,5,3,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,6,1,0,0,0,0,0,0,0,8,4,5,2,2,2,1,0,2,2,2,1,1,0,0,0,33,31,5,0,9,1,0,14,98,13,1491,259589741,278995324,2230,7,5115,381,1579,502,96,6,1370,2033841,976,532,68,60218587,233,0,5,1,62,1330,1,1,650,0,0,11490,21,99,1,3,0,0,13210
"#9U0LQ9YCV","Dasean Thomas",12,"member",31,112,"Unranked",2179,1333,105,0,0,0,0,0,5,7,8,4,7,7,8,5,6,7,5,1,2,0,0,0,0,2,7,7,7,5,1,2,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,1,1,1,0,0,0,0,0,8,6,5,2,6,3,1,0,2,2,2,1,2,1,0,0,44,43,12,0,23,1,0,13,162,12,3718,275449648,275547405,3333,8,14226,503,2062,584,245,220,1733,2415433,1188,616,105,109348887,244,7,7,1,51,1335,1,1,150,0,32,20100,6,63,3,0,1,0,48780
"#LVGPCJPPG","NITRO¥TEJAS",12,"member",32,124,"Crystal League II",2177,1998,110,0,9,0,136,0,8,8,8,7,7,7,8,5,7,7,5,5,3,1,0,0,0,7,7,7,7,4,4,3,0,0,0,4,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,10,10,8,8,7,10,0,0,0,0,8,7,5,3,6,5,2,0,3,5,3,3,4,2,0,0,47,50,20,0,25,10,0,12,61,12,2074,392792865,400182974,2668,8,5526,610,3026,853,85,2082,2661,2676991,896,343,110,176924856,94,64,6,1,107,2234,2,1,9075,0,39,38160,2,11,0,5,1,11950,75985
"#QYC92QV82","capalot",15,"member",33,91,"Crystal League III",1994,585,43,0,21,1,287,66,4,6,4,4,3,7,4,2,8,1,1,3,2,2,0,0,0,4,6,8,3,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,6,3,3,3,2,1,2,0,2,1,2,0,0,0,0,0,26,25,15,16,41,0,0,15,206,15,1417,99490666,94035085,2029,6,5921,219,1031,309,216,1201,1047,807273,744,442,43,79810101,146,25,4,1,58,589,1,1,450,0,10,16540,120,109,55,5,0,0,3950
"#QRU0JY2UQ","McGoat0",13,"member",34,131,"Unranked",1824,0,375,0,0,0,0,0,9,9,9,8,8,9,9,5,8,8,7,6,3,2,0,0,0,9,9,7,10,5,5,4,0,0,0,5,3,0,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,7,6,3,7,6,3,0,6,5,5,6,5,2,0,0,69,68,43,5,41,0,0,14,111,13,2655,680867352,740991193,3138,9,6123,560,5091,1257,106,11328,3574,6810149,1275,658,375,338812283,153,854,0,0,0,0,0,0,39200,0,85,54220,89,125,37,20,68,621840,855890
"#LRLPUV0VG","k..haloi",11,"member",35,107,"Unranked",1820,1818,86,0,0,0,0,0,7,8,7,5,6,6,7,4,6,7,4,4,1,0,0,0,0,3,7,6,5,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,10,8,9,8,0,0,0,0,0,8,6,5,3,6,2,0,0,3,5,3,2,2,0,0,0,42,41,3,0,11,7,0,12,161,11,1439,211004938,218408770,2079,6,6183,463,2158,708,169,876,1945,1249099,581,194,86,84544531,27,36,6,1,174,2066,2,1,300,0,16,29110,0,1,0,0,0,1055,3605
"#YPURRU2L0","pandar boss",11,"member",36,99,"Unranked",1812,1379,51,0,0,0,0,0,8,8,8,7,6,4,5,5,4,7,1,0,0,0,0,0,0,4,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,5,5,1,0,0,0,0,0,8,5,5,2,2,1,0,0,1,3,1,1,0,0,0,0,35,37,12,0,30,4,0,12,215,11,2467,247725402,229619301,2958,5,13704,418,1635,488,432,83,1628,1976934,1170,585,51,45428790,217,0,6,1,55,1452,0,1,700,0,1,18800,20,114,0,1,0,0,1700
"#Q9JU9UGC0","shaxow",11,"member",37,87,"Gold League II",1735,1669,163,0,0,0,0,26,4,5,5,2,5,6,8,4,6,7,2,1,0,0,0,0,0,7,7,4,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,6,5,5,1,0,0,0,0,0,6,7,5,2,3,2,0,0,2,5,3,4,0,0,0,0,32,28,11,0,21,1,0,12,18,11,2025,113255812,127262053,1924,4,2435,439,1637,550,90,174,1517,835397,490,139,163,97198911,10,4,5,1,102,1672,1,1,1450,0,43,29500,0,0,0,0,0,32040,68622
